SpinCore Single Pulse NMR & NQR Experiment
ADC Frequency (MHz): 75.00
Blanking Bit: 2.0
Blanking Delay (ms): 3.000
Amplitude: 1.00
Spectrometer Frequency (MHz): 29.9015
Spectral Width (kHz): 3000.00
Number of Scans: 
Pulse-Width (us): 1.5
Pulse Phase (Degrees): 0.00
Transient Delay (us): 20.0
Repetition Delay (s): 0.1
Number of Acquisition Points: 16384.0
BYPASS FIR: YES
Shape: Hard
CYCLOPS: Yes
 
Frequency (kHz), Power Spectral Density Data
-1403.8696, 38736.5675
-1403.6865, 14900.2902
-1403.5034, 21559.9367
-1403.3203, 13313.0349
-1403.1372, 43961.0980
-1402.9541, 26625.8119
-1402.7710, 22624.8824
-1402.5879, 7259.4513
-1402.4048, 43431.3304
-1402.2217, 33017.0159
-1402.0386, 56047.1682
-1401.8555, 15545.7920
-1401.6724, 24566.0924
-1401.4893, 67393.8135
-1401.3062, 9542.5166
-1401.1230, 43594.4026
-1400.9399, 81238.4882
-1400.7568, 23822.9327
-1400.5737, 19634.0582
-1400.3906, 36784.2491
-1400.2075, 22214.5680
-1400.0244, 33618.0474
-1399.8413, 23759.2946
-1399.6582, 81368.6332
-1399.4751, 7344.1424
-1399.2920, 24428.1249
-1399.1089, 50671.0597
-1398.9258, 42868.7464
-1398.7427, 45484.5806
-1398.5596, 78118.7133
-1398.3765, 41773.8346
-1398.1934, 21420.7892
-1398.0103, 23130.4229
-1397.8271, 25341.0625
-1397.6440, 48266.4656
-1397.4609, 8641.5915
-1397.2778, 13345.2880
-1397.0947, 22654.8203
-1396.9116, 52626.6619
-1396.7285, 10565.2341
-1396.5454, 65239.2946
-1396.3623, 37091.0693
-1396.1792, 13020.2933
-1395.9961, 70529.5493
-1395.8130, 24389.1209
-1395.6299, 88329.5872
-1395.4468, 6878.8693
-1395.2637, 37823.9616
-1395.0806, 66024.8510
-1394.8975, 33880.2711
-1394.7144, 15417.5223
-1394.5312, 114308.3951
-1394.3481, 41260.4963
-1394.1650, 51540.8288
-1393.9819, 32102.0952
-1393.7988, 42325.3324
-1393.6157, 36705.9592
-1393.4326, 40560.0649
-1393.2495, 63156.8439
-1393.0664, 62653.5291
-1392.8833, 62831.5764
-1392.7002, 144258.3192
-1392.5171, 22553.2110
-1392.3340, 19066.5784
-1392.1509, 52369.8597
-1391.9678, 20475.9506
-1391.7847, 64920.1856
-1391.6016, 56004.6526
-1391.4185, 20387.0647
-1391.2354, 42956.2362
-1391.0522, 28652.4861
-1390.8691, 67314.1465
-1390.6860, 40991.8261
-1390.5029, 104108.3881
-1390.3198, 92149.5855
-1390.1367, 71350.6443
-1389.9536, 49418.6894
-1389.7705, 79993.4389
-1389.5874, 67526.2936
-1389.4043, 57900.3079
-1389.2212, 19722.1136
-1389.0381, 25850.7598
-1388.8550, 27792.9882
-1388.6719, 64881.3969
-1388.4888, 53008.1779
-1388.3057, 35654.1540
-1388.1226, 42237.2362
-1387.9395, 44745.7769
-1387.7563, 53128.3720
-1387.5732, 61641.2923
-1387.3901, 75907.0280
-1387.2070, 26485.6686
-1387.0239, 103047.5955
-1386.8408, 47934.6296
-1386.6577, 45046.6312
-1386.4746, 62035.8952
-1386.2915, 37636.7870
-1386.1084, 28427.3128
-1385.9253, 16952.3117
-1385.7422, 43465.2461
-1385.5591, 107276.6122
-1385.3760, 101707.7242
-1385.1929, 63463.2434
-1385.0098, 14325.3417
-1384.8267, 17852.4335
-1384.6436, 39750.2914
-1384.4604, 54033.1699
-1384.2773, 43534.8365
-1384.0942, 24582.0557
-1383.9111, 27518.3747
-1383.7280, 60935.7588
-1383.5449, 13762.2335
-1383.3618, 60545.0480
-1383.1787, 36213.3054
-1382.9956, 49096.9925
-1382.8125, 29566.6504
-1382.6294, 62408.1652
-1382.4463, 65047.7591
-1382.2632, 39925.8098
-1382.0801, 107045.2162
-1381.8970, 41927.9572
-1381.7139, 31777.2794
-1381.5308, 77600.6978
-1381.3477, 78400.5385
-1381.1646, 15376.9828
-1380.9814, 40932.0593
-1380.7983, 13961.0585
-1380.6152, 29896.9934
-1380.4321, 31171.4905
-1380.2490, 9495.1853
-1380.0659, 35068.6548
